R: 127 	 G: 124 	 B: 108
R: 117 	 G: 114 	 B: 98
R: 80 	 G: 77 	 B: 61
R: 111 	 G: 108 	 B: 92
R: 101 	 G: 98 	 B: 82
R: 111 	 G: 108 	 B: 92
R: 120 	 G: 117 	 B: 101
R: 120 	 G: 117 	 B: 101
R: 140 	 G: 137 	 B: 122
R: 120 	 G: 117 	 B: 101
R: 139 	 G: 136 	 B: 120
R: 139 	 G: 136 	 B: 120
R: 139 	 G: 136 	 B: 120
R: 139 	 G: 136 	 B: 120
R: 116 	 G: 113 	 B: 97
R: 126 	 G: 123 	 B: 107
R: 116 	 G: 113 	 B: 97
R: 126 	 G: 123 	 B: 107
R: 132 	 G: 131 	 B: 103
R: 112 	 G: 111 	 B: 83
R: 163 	 G: 162 	 B: 134
R: 142 	 G: 141 	 B: 113
R: 105 	 G: 92 	 B: 68
R: 135 	 G: 122 	 B: 99
R: 115 	 G: 102 	 B: 78
R: 145 	 G: 132 	 B: 109
R: 135 	 G: 124 	 B: 88
R: 135 	 G: 124 	 B: 88
R: 145 	 G: 134 	 B: 99
R: 145 	 G: 134 	 B: 99
R: 153 	 G: 142 	 B: 106
R: 153 	 G: 142 	 B: 106
R: 143 	 G: 131 	 B: 96
R: 122 	 G: 111 	 B: 76
R: 115 	 G: 104 	 B: 69
R: 126 	 G: 115 	 B: 79
R: 105 	 G: 94 	 B: 59
R: 136 	 G: 125 	 B: 89
R: 162 	 G: 151 	 B: 116
R: 142 	 G: 131 	 B: 95
R: 142 	 G: 131 	 B: 95
R: 142 	 G: 131 	 B: 95
R: 78 	 G: 65 	 B: 41
R: 99 	 G: 86 	 B: 62
R: 109 	 G: 96 	 B: 72
R: 129 	 G: 116 	 B: 92
R: 127 	 G: 114 	 B: 91
R: 158 	 G: 145 	 B: 121
R: 138 	 G: 125 	 B: 101
R: 127 	 G: 114 	 B: 91
R: 178 	 G: 165 	 B: 142
R: 148 	 G: 135 	 B: 111
R: 117 	 G: 104 	 B: 81
R: 107 	 G: 94 	 B: 70
R: 153 	 G: 140 	 B: 116
R: 102 	 G: 89 	 B: 65
R: 142 	 G: 129 	 B: 106
R: 112 	 G: 99 	 B: 75
R: 84 	 G: 71 	 B: 47
R: 104 	 G: 91 	 B: 68
R: 94 	 G: 81 	 B: 57
R: 94 	 G: 81 	 B: 57
R: 109 	 G: 96 	 B: 72
R: 119 	 G: 106 	 B: 82
R: 98 	 G: 85 	 B: 62
R: 109 	 G: 96 	 B: 72
R: 103 	 G: 90 	 B: 66
R: 82 	 G: 69 	 B: 46
R: 123 	 G: 110 	 B: 86
R: 103 	 G: 90 	 B: 66
R: 124 	 G: 113 	 B: 77
R: 134 	 G: 123 	 B: 88
R: 73 	 G: 62 	 B: 26
R: 83 	 G: 72 	 B: 37
R: 124 	 G: 111 	 B: 88
R: 145 	 G: 132 	 B: 108
R: 83 	 G: 71 	 B: 47
R: 104 	 G: 91 	 B: 67
R: 165 	 G: 152 	 B: 129
R: 145 	 G: 132 	 B: 108
R: 135 	 G: 122 	 B: 98
R: 135 	 G: 122 	 B: 98
R: 138 	 G: 125 	 B: 101
R: 128 	 G: 115 	 B: 91
R: 138 	 G: 125 	 B: 101
R: 148 	 G: 135 	 B: 112
R: 148 	 G: 137 	 B: 101
R: 138 	 G: 127 	 B: 91
R: 148 	 G: 137 	 B: 101
R: 158 	 G: 147 	 B: 112
R: 91 	 G: 80 	 B: 45
R: 122 	 G: 111 	 B: 75
R: 102 	 G: 91 	 B: 55
R: 91 	 G: 80 	 B: 45
R: 175 	 G: 162 	 B: 138
R: 144 	 G: 131 	 B: 107
R: 144 	 G: 131 	 B: 107
R: 93 	 G: 80 	 B: 56
R: 94 	 G: 79 	 B: 67
R: 53 	 G: 38 	 B: 26
R: 73 	 G: 58 	 B: 47
R: 33 	 G: 18 	 B: 6
R: 20 	 G: 5 	 B: 4294967290
R: 81 	 G: 66 	 B: 54
R: 101 	 G: 87 	 B: 75
R: 142 	 G: 127 	 B: 116
R: 133 	 G: 118 	 B: 107
R: 144 	 G: 129 	 B: 117
R: 144 	 G: 129 	 B: 117
R: 154 	 G: 139 	 B: 127
R: 132 	 G: 125 	 B: 133
R: 112 	 G: 105 	 B: 113
R: 142 	 G: 135 	 B: 143
R: 183 	 G: 176 	 B: 184
R: 137 	 G: 118 	 B: 130
R: 116 	 G: 97 	 B: 109
R: 218 	 G: 199 	 B: 211
R: 177 	 G: 159 	 B: 170
R: 103 	 G: 86 	 B: 86
R: 154 	 G: 137 	 B: 137
R: 134 	 G: 117 	 B: 117
R: 123 	 G: 107 	 B: 107
R: 160 	 G: 157 	 B: 141
R: 119 	 G: 116 	 B: 101
R: 109 	 G: 106 	 B: 90
R: 130 	 G: 127 	 B: 111
